Line #,Name,Description,Designator,Quantity,Manufacturer,Manufacturer Part Number,,Status
1,10uF/35V/10%,Ceramic capacitor,"C1, C2, C5, C6",4,Samsung,CL31A106KBHNNNE,,Generic
2,100nF,Ceramic capacitor,"C3, C4, C7, C11",4,Multicomp,MC0603F104M500CT,,Generic
3,22nF,Ceramic capacitor,C8,1,Wurth Electronics,8.85E+11,,Generic
4,470nF,Ceramic capacitor,C9,1,Wurth Electronics,8.85E+11,,Generic
5,4.7uF,Ceramic capacitor,C10,1,Samsung,CL10A475KP8NNNC,,Generic
6,TMC5130A-TA,"High voltage(up to 46V) controller for two-phase bipolar stepper motor, with SPI, Step/Dir, UART, TQFP48-EP(7x7)",IC1,1,Trinamic,TMC5130A-TA,,Critical
7,11 pin male header,"Pin Header, Board-to-Board, 2.54 mm, 1 Rows, 11 Contacts, Through Hole Straight, KK 254 42375","P1, P2",2,Molex,22284110,,Connector
8,CRCW06030000Z0EA,"Chip Resistor, 0 Ohm, Jumper, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R1, R2",2,Multicomp,MCWR06X000 PTL,,Generic
9,0.15R / 0.5W / 1%,"0.15 Ohm ±1% 0.5W, 1/2W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200, Current Sense Thick Film","R3, R4",2,Panasonic,ERJ8BSFR15V,,Generic
10,2R2/1%/,Resistor,R5,1,Yageo Group,RC0603FR-072R2L,,Generic
