Manufacturer,Manufacturer Part Number,Quantity,DigiKey Stock,Mouser Stock,Total Stock
Amphenol,RJHSE5381,25,15981,20114,36095
Amphenol,RJHSE538102,150,3610,860,4470
Molex,15-47-7610,500,12847,256,13103
Molex,172064-1002,75,12435,1958,14393
Molex,217179-0001,100,93695,80637,174332
Molex,22284110,550,7707,9113,16820
Molex,43045-0225,2000,3753,3812,7565
Molex,43045-0400,650,33728,75513,109241
Molex,43045-0406,75,4038,0,4038
Molex,43045-0410,25,899,1676,2575
Molex,43045-0427,900,36970,34094,71064
Molex,43045-0602,50,4129,7484,11613
Molex,43045-0627,125,20791,710,21501
Molex,43045-0802,25,1798,7998,9796
Molex,43045-0812,25,15390,29850,45240
Molex,430450415,500,6466,2278,8744
Molex,430450427,150,36970,34094,71064
Molex,430450610,200,118,0,118
Molex,430450615,500,61,1109,1170
Molex,43650-0204,75,17602,727,18329
Molex,43650-0212,50,12794,2029,14823
Molex,43650-0317,1100,1978,2259,4237
Molex,43650-0412,25,5911,7731,13642
Molex,43650-0417,100,3278,0,3278
Molex,43650-0429,200,3964,802,4766
Molex,436500317,300,1978,2259,4237
Molex,70246-3001,250,793,2531,3324
Molex,702463001,250,793,2531,3324
Molex,705450004,150,2255,2287,4542
Neutrik,NC5FAH,25,127,3297,3424
Neutrik,NC5MAH,50,110,1421,1531
Samtec,ESHF-105-01-L-D-TH,50,151,1994,2145
Samtec,ESW-120-44-T-D,25,235,1037,1272
Samtec,FTSH-107-01-L-DV-K,100,9673,9185,18858
Samtec,SHF-105-01-L-D-SM,100,13950,8336,22286
Samtec,SSW-103-01-G-D,50,798,3554,4352
Samtec,TSM-108-01-L-DV,25,4751,1948,6699
Samtec,TSW-102-26-T-S,375,839,464,1303
