Manufacturer,Manufacturer Part Number,Quantity,DigiKey Stock,Mouser Stock,Total Stock
Allegro MicroSystems,ACS724LLCTR-05AU-T,250,,0,0
Analog Devices,AD8040ARZ-REEL7,50,1918,1315,3233
Analog Devices,LTC6900IS5#TRPBF,150,7537,4694,12231
Analog Devices,MAX17634CATP+,25,967,1785,2752
Analog Devices,TMC5130A-TA,150,8676,3663,12339
Diodes,AL5809-20P1-7,75,,0,0
Infineon,ITS4141NHUMA1,125,41459,20460,61919
IXYS,CPC1916Y,2000,2441,112,2553
Kingbright,APA3010F3C-GX,300,244327,146,244473
Kingbright,APA3010P3BT-GX,300,314028,11904,325932
Littelfuse,0154.500DRT,50,5391,11372,16763
Littelfuse,0154001.DR,100,28361,17809,46170
Littelfuse,0154002.DR,25,27427,28840,56267
Littelfuse,0154004.DR,600,13682,15968,29650
Littelfuse,015406.3DR,25,9985,9348,19333
Microchip,MCP6004-I/ST,250,2595,7629,10224
Microchip,MIC2005A-1YM5-TR,500,67389,21499,88888
Nexperia,"74LVC1G14GV,125",200,2815,2289,5104
onsemi,SMS05T1G,1000,48379,1013,49392
onsemi,SMS24T1G,25,12004,1837,13841
Phoenix Contact,2961192,25,1564,1951,3515
Recom Power,R-7312P,25,247,142,389
Renesas,PS2911-1-F3-AX,2000,,0,0
Same Sky,CMI-1295-24TH,25,871,360,1231
STMicroelectronics,LD39050PU33R,100,1296,559,1855
STMicroelectronics,STM32U575ZIT6,100,1562,762,2324
Texas Instruments,AM26C32QDR,500,6768,11035,17803
Texas Instruments,CD40109BPWR,50,49520,6221,55741
Texas Instruments,DRV8256ERGER,75,7835,3874,11709
Texas Instruments,HDC3022DEJR,175,,0,0
Texas Instruments,LMR36015BRNXR,150,2272,1237,3509
Texas Instruments,LMV358MX/NOPB,500,11964,289,12253
Texas Instruments,NE555DR,50,227066,36773,263839
Texas Instruments,PCA9306DCTT,250,7927,2539,10466
Texas Instruments,PCA9555PWR,250,11807,6882,18689
Texas Instruments,SN74LVC2G02DCUT,250,19926,3113,23039
Texas Instruments,TLA2528IRTER,75,6545,30285,36830
TI,THVD1406DR,25,9260,146,9406
TI National Semiconductor,LM2678SD-5.0/NOPB,50,266,425,691
Trinamic,TMC5130A-TA,275,8676,3663,12339
Vishay Lite-On,LTST-C930KGKT,750,401191,107834,509025
